Name,Tag Name,Description
Cheesus DeFi & NFT Rating Tool,CheesusDeFi,"Cheesus - a multichain DeFi analytical tool that helps you find real gems without getting caught in any mousetraps.
Join https://t.co/U2zyHgobuC"
DeFi Saver,DeFiSaver,"Advanced DeFi management.

Blog: https://t.co/LDCfQC6i1B
Discord: https://t.co/xkSTMUoSbi"
TheDefiJedi.SOL.ETH,TheDefiJedi,"Obviously not a financial advisor, just a Defi Degen Jedi 🦧

#SpacesHost #AMA's and #Giveaways 💸

Buyer of #NFTs🖼️ - Smoker of🍀Weed - Seeker of Alpha 🔭"
DeFi | NFTs Crypto Boss💥,GibsoonCorp,"|Crypto Educator
|BuidLing DeFi 2.0
|#Bitcoin supporter
|Gibs.eth
|NFTs
|#BSc
|DYOR
|Fintech Man
|Advisor
|Trader
|Writer
|Former CMO to Several Crypto Projects"
Penguin Finance 🐧🔺,penguin_defi,"🐧 Gamified DeFi Hub | Play, Earn, Launch and Collect 🏆 

Minting NFTs @CryptoPuffies: https://t.co/Id0Fu0Aba4 

Peng to earn coming soon!"
DeFi Warrior,DeFiWarriorGame,"DEFI x NFT
THE FIRST CRYPTO CHARACTER & CRYPTO GALAXY GAME.
Telegram: https://t.co/GsZ6R1QVAd…
Discord: https://t.co/wqYYzKw20w"
Moonwell DeFi,MoonwellDeFi,An open lending and borrowing DeFi protocol built on Moonbeam & Moonriver https://t.co/7FIV1lGZ4n
CyberFi - Intelligent DeFi Automation Platform,cyberfi_tech,Automate and conquer. (c) Building the DeFi 2.0 Automation Layer
Today in DeFi,todayindefi,"Fresh DeFi News Daily

Frontrun the herd"
Francium,Francium_Defi,"Earn through DeFi Strategy. 

- Backed by Solana + Serum
- Solana Hackathon Winner

Links: https://t.co/sAAM3fafx7
Discord: https://t.co/XWhmSj9pq3"
Defi Tribe,Defi_Tribe,"🌺 Welcome to Defi Tribe, ▪️We promote Crypto related projects like Metaverse, Defi and others.▪️We also make Airdrop Bot. ⚓ Telegram : https://t.co/ImIBTrgs5n"
DeFi Education Fund,fund_defi,We do policy and advocacy work to help DeFi flourish. DEF.eth  https://t.co/0QCpN3bCWR
Quarry 💎 DeFi Mining on Solana,QuarryProtocol,"The easiest place to discover, launch, and farm DeFi liquidity mines on Solana."
Crypto Nemo | NFT & Defi Promoter,Crypto_NemoBTC,NFT's & Defi | Crypto Promoter & Influencer 🚀| Turn 🔔 ON | Finding new gems 💎 & Selling out Projects 💰🌍 | DM for Enquiries 📬🍀 | 100% ORGANIC ♻️
DeFi Wizard 🧙,defi_wizard,"DeFi Wizard provides Smart Contracts as a Service such as LP staking, Bi-Directional Bridges, Vesting Contracts, Token Claiming Dashboards etc on MultiChains!"
DefiDollar Finance,defidollar,"DefiDollar is a Multichain DeFi Protocol Lab! Products include Stablecoin Index - $DUSD, Interest-bearing bitcoin $ibBTC and Opeth Finance."
DeSpace,DeSpaceDefi,"DeSpace, $DES is cross-chain multi-platform DeFi & NFT aggregator, powered by our own blockchain DeChain, which makes interoperability possible! 🚀"
DEFI TIMES,defitimes,Teaching you about Cosmos DeFi
Cardano DeFi Alliance,CardanoDeFiCDA,Leading Plutus DeFi Protocols Join Forces to Establish the Cardano DeFi Alliance
Neo,neo_defi,Founder of @starlay_fi @kagla_fi @muuu_fi and more / DeFi Developer / NeoTokyoPunks#22
DeFi Mark,MoonMark_,Full Time Freelance Solidity Developer + DeFi Consultant | XUSD Founder | Contact Me: mark@dappd.net
Rebel Defi 🕵️⚛️🌖🧪⚡️,rebel_defi,Web 3.0 Content Creator | Regular DeFi tutorials | @orbital_command Community & Education | Discord https://t.co/2EAAfWU4EK
DefiSnap,defisnap,One dashboard for all your DeFi Investments.
Pollen DeFi 🔺,PollenDeFi,"Pollen DeFi is a first of its kind decentralized, next-gen index platform. 

Join the $PLN hive-mind: https://t.co/zl9DM2fzZV"
GhostDefi,defi_ghost,"Father, Entrepreneur, DEFI Enthusiast,NFT Collector and Marketing Pro🇳🇬🇹🇴 Founder of @BoredDealerNFT #HEX #BTC #ETH #FTM #Pulsechain Cannabis Advocate 🍁💨"
DeFi News Timeline,DeFiNewsTime,DeFi News Timeline is the best to give you what is in vogue on the blockchain..
DeFi Summit by DCENTRAL,Defi_Summit,"Join Crypto Bazel Conference. DeFi & NFTs
Nov 30th & Dec 1st, 2021 at the Miami Airport Convention Center.
3 Stages, 2 Days, 1 NFT Gallery."
"Waterfall DeFi (💦, 💦)",Waterfalldefi,"Bringing true risk tranching to DeFi on #BNBChain and #AVAX
Join the $WTF community: https://t.co/OXiCC8AdGN | https://t.co/NXGBoiAWoP"
MOR by Growth DeFi,GrowthDefi,"DeFi borrow/leveraged yield protocol, self-repaying loans, derivatives, & options trading. On AVAX, FTM, and BSC.
$MOR $GRO
https://t.co/15UbzwOV1R
https://t.co/IB1j9Ew2Ym"
DeFi Trader,TraderDefi,Click the link to join my free DeFi Trader Academy Discord: https://t.co/6KVuAkxtF3…
Zeus,DefiZeus,"Gambler, Investor, Trader, DeFi 🚨 DM FOR INQUIRIES 📨 Not financial advice, DYOR!"
Oh! Finance 🔺,OhFinanceDefi,Earn More with your DeFi Dollars! Telegram: https://t.co/LOBHJo3rby
Lighthouse Defi,LighthouseDefi,"Liquidations and savings are all at your fingertips, with no hidden strings and fees attached.

Make Lighthouse Your Defi Home!"
Magic DeFi Calls 🪄,MagicDeFiCalls,Crypto enthusiast since 2017 🚀 • Gem Finder & DeFi lover • DM for marketing campaign 📩  WGMI.   #AVAX #BNB #SOLANA #ETH #NFT
NUT.defi,NutDefi,A Crunchy DeFi Protocol. #HuobiEcoChain #HT #HECO #Houbi
ETH Zürich,ETH,"Dies ist der offizielle deutsche Twitter-Kanal der ETH Zürich. Hier lesen Sie das Neuste aus Wissenschaft, Technologie & Lehre. 
English account: @eth_en"
ETH Zurich,ETH_en,"This is the official Twitter account of ETH Zurich in English. Stay tuned for the latest news on research, technology and education. Deutscher Account: @eth"
ETH-Bibliothek,ETHBibliothek,Die ETH-Bibliothek ist der zentrale Wissenshub der ETH Zürich und die grösste öffentliche naturwissenschaftliche und technische Bibliothek der Schweiz.
Eth 2.0 Deposit Contract - Progress Meter Bot,DepositEth,"A daily tweet bot to track the progress of ETH 2.0 deposits against the goal of 524,288 to launch the ETH 2.0 beacon chain."
MyCrypto.eth 🦊💙,MyCrypto,"MyCrypto makes managing your crypto easy. Create wallets, manage your assets, and more. Supports ETH + ERC20 tokens.

🦊💙"
⟠ toast.eth 🦄,intocryptoast,"Eth/DeFi/NFT OG | Punk #4544
Eth phase 0 depositor/validator
Compounding gains. Accumulating for a decentralised future
@dcv_capital | toast.lens"
DeanSteiner.eth,DeanSteinerNFT,NFT INFLUENCER | NFT COLLECTOR 😇 | DM me for promotion 📥 Eth wallet domain: deansteiner.eth #Ethereum
ΞxitLiquidity // 454.eth,exitliquidity1,#BAYC 367 - #JustBricks 376 - buncha other jpegs - fatnutz.eth // yux.eth // 8x #10kclub ENS  — bought ETH at $11
Owner of a 1000 ETH Castle 🏰👑,NFTgems,"Owner of 1/500 @realms_of_ether castles. 
Castle Price Forecast
2021: 5 ETH
2022: 100 ETH
2023: 1000 ETH"
Skorge.eth,SkorgeSp33d,"NFTs, Crypto, Alpha Calls, ETH Maxi."
elti.eth ⚡️,Elti_Art,"non award-winner visual artist ✨ fine collector sometimes 🤌 
⟠ eth maxi @crypt_gallery artist"
Ethereum,ethereum,"Open source platform to write and distribute decentralized applications.

Official account of the Ethereum Foundation"
Ethereum Classic,eth_classic,Latest News and Information from Ethereum Classic (ETC). A crypto-currency with smart contracts which respects immutability and neutrality.
ethereum.org,ethdotorg,"The portal to Ethereum, built for our growing global community. Looking for the Ethereum Foundation? 👉 @ethereum"
EthCC - Ethereum Community Conference,EthCC,Largest Annual European Ethereum Gathering: https://t.co/9jXqIuLXYy organised by @Ethereum_France
Injective 🥷 | Cosmos IBC | Ethereum compatible,InjectiveLabs,The blockchain built for finance // Launch IBC & Ethereum compatible DeFi apps with instant finality // https://t.co/fIk92amYUT // https://t.co/LWg8hIPfqt
PulseChain.com Ethereum fork including ERC20s,PulsechainCom,"Energy efficient, Faster, cheaper, fee-burning Ethereum fork. https://t.co/Orki1B8nk7, https://t.co/3InWjziUC2, https://t.co/zrUudOipS7"
Ethereum France,Ethereum_France,Compte twitter officiel de l'association Ethereum France. Tout sur #Ethereum en français depuis 2016. Organise @EthCC
Enterprise Ethereum Alliance,EntEthAlliance,A member-led industry organization enabling global blockchain leaders to adopt and use Ethereum technology in their day-to-day business operations.
ETH Silicon Valley,EthereumSV,Building community around Ethereum and smart contracts in Silicon Valley.
Ethereum Towers | Ethereum Worlds,EthereumTowers,"Building a community-centric, vertical Metaverse consisting of 4,388 resident-owned apts and communal areas, set in our forthcoming Ethereum Worlds Metaverse."
Ethereum Cat Herders,EthCatHerders,Decentralizing Ethereum project management. Our aim is to bring the minimum amount of order that chaos needs to move Ethereum forward.
Ethereum Report,ethereumreport,Reporting all things Ethereum
Ethereum Classic Labs,etclabs,ETC Labs is dedicated to accelerating the development of Ethereum Classic and supporting blockchain startups.
Expensive Ethereum Transactions,HighGwei,Tweet space for sale! Spend 5 ETH on Ethereum mainnet transaction fee and you'll show up here
Remix Project,EthereumRemix,"A ""no-setup"" browser and desktop app to develop and learn Ethereum smart contracts. Our dev tools for wider use include Remix Plugin Engine & Remix Libraries."
Ethereum London,ETHLDN,"Ethereum London community with over 8,500 members. Dabble in dapps & get nabb'n NFT's! Meetup: https://t.co/1TbPOMY717"
ethereumpools.info 📌@EthBarcelona,EthereumPools,We 📉 monitor and 🚨 alert on Ethereum 2.0 well-known pools. No 👏 single 👏 #eth2 staking pool 👏 will 👏 be 👏 offline 👏 without 👏 us 👏 noticing. DMs open.
Blockchain for Social Impact | BSIC.eth,ethereum4impact,Join the Ethereum community dedicating their talent and work to solving world’s most pressing problems. #bsic #blockchain #ethereum4impact Decentralized Impact
Ethereum Italia,ethereumita,Official Italian Ethereum Hub - Smart Contracts & Blockchains https://t.co/lY0sSXqN4p - Facebook https://t.co/ayNi5GWxjV. Contacts @LeonPedretti @jacoped
Ethereum News,News_ETH,"Ethereum News by @DefiDirect 
- @news_of_bsc + @SolanaNews + @news_avax + more

Ethereum & DeFi Latest News, Features & Analysis"
EthereumDevIO,ethereumdevio,"The complete guide to develop on the Ethereum blockchain. Learn and stay updated about Solidity and smart contract programming
👉 https://t.co/r6hoVyNhzp"
Byte-Sized Ethereum,ByteSizedEth,A podcast where we make learning about Ethereum accessible for everyone. Hosted by @alexandravbotez and Ethereum developer @topherbenson
ETHEREUM 2.0 PARTY,ETH_PARTY,"✨ New Ethereum 2.0 Party

🎁 Get Free $ETH below"
Ethereum ETL,EthereumETL,Facilitating data science on Ethereum data.  Donate here https://t.co/IKy3ymZo8r
Taipei Ethereum,eth_taipei,Taipei Ethereum Meetup 🦄 Started in 2016 #Crosslink19 Last event: ZK Day; Next event: 4/11 Mon 7pm The Merge 以太坊合併 & 多項式證明的拆解
Brandon | Ethereum Towers,0xBrandon_,Co-Founder of @Ethereumtowers & Ethereum Worlds #Metaverse. ✨
ethOS,EthereumPhone,Web3 needs the ΞPhone. ethOS is the world's first Ethereum mobile operating system. Join us! ethereumphone.eth https://t.co/zl5tAahEa6
Bitcoin and Ethereum Alerts,Price_Alerts,Real-time alerts for bitcoin and ethereum prices
Ethereum Price,EthereumPrice_,Ethereum Price & Technical analysis. ΞTH Live.
Danielle Conner,MrsEthereum,Ethereum artist. DM for custom pieces.
Ethereum Classic Netherlands,etcnetherlands,Ethereum Classic is een voortzetting van de originele Ethereum blockchain – de klassieke versie die de ongerepte geschiedenis behoudt.
Ethereum Towers Social Hour,EthTowersSocial,"Building a community-centric, vertical Metaverse consisting of 4,388 resident-owned apts and communal areas, set in our forthcoming Ethereum Worlds Metaverse."
Ethereum UAE,Ethereum_UAE,Latest news and updates for Ethereum in UAE and around the world. Join us at our meetup !
Ethereum Classic Vietnam 🇻🇳 --oppose-dao-fork,ETCVietNam,"#EthereumClassic is the original Ethereum and truly #Decentralized blockchain. We're building $ETC Community all over the world, TOGETHER ✊"
Ethereum 2.0 🦇🔊,eth2,"Ethereum 2.0 - $ETH 
Supraoracles - $SUPRA
Red Belly Blockchain -"
Chicago Ethereum Meetup (ethchicago.eth),ChicagoEthereum,♦️♦️♦️♦️ For anyone in Chicagoland interested in Ethereum // Started in 2015 // Discord chat: https://t.co/7LQlBCtL4V
Ethereum Trust Alliance,ethtrustorg,A global coalition of professional security organizations brought together to increase trust in the Ethereum ecosystem. #TrustEthereum
Ethereum Dev Barcelona Meetup,ethdevbcn,Ethereum developers meetup. Organized by @adria0
Berlin Ethereum Meetup,BerlinMeetup,"Good company, the latest news and updates about Ethereum from devs. 
The event is targeted at decentralized tech enthusiasts, philosophers and developers alike."
Ethereum Classic ESP,ethclassicesp,Comunidad Ethereum Classic en español
Ethereum Yield (ETHY),EthereumYield,Ethereum Stake (ETHYS) Liquidity Providing Event (pre-sale) join https://t.co/PSjb5RE7iZ (07 December listing on UniSwap)
Mothers of Ethereum,MothersEthereum,"Inaugural Mothers of Ethereum NFT Exhibition * Tonight 5pm EST * Stellabelle's Gallery, Cryptovoxels"
Ethereum Insider,InsiderEthereum,Tune in for all the latest Ethereum and Crypto news!
OnEthereum,on_ethereum,"Ethereum ecosystem news. 
Curated in real-time by William Mougayar. https://t.co/dZcHkHlcPa 
Sign-up for the daily email."
Ethereum Los Angeles,EthereumLA,A diverse community focused on supporting the Ethereum ecosystem.
Ethereum TGU,EthereumTGU,"Comunidad de Ethereum en Tegucigalpa, Honduras. Aprende con nosotros sobre blockchain, Ethereum, DeFi, NFTs y más uniendote a discord https://t.co/DwY5PkxF01"
Solana Status,SolanaStatus,"Status updates for the Solana network, the Solana website, and the Solana Explorer. Follow @solana for daily announcements. Run by the Solana Foundation."
Solana Sensei,SolanaSensei,NFT Collector | Solana OG | God Mode Unlocked #solana $SOL #DAA
Solana Testnet Status,SolanaTestnet,"Status updates for the Solana testnet network. Follow @solana for daily announcements, and @SolanaDevnet for devnet updates. Run by the Solana Foundation."
Step Finance | Solana's Portfolio Dashboard,StepFinance_,The @Solana Portfolio and Data Insights Dashboard. AKA... The Front Page of Solana https://t.co/pIgx4J60BP @StepDataInsight data newsletter
S◎L mates ☀️,Solana_Mates,"Follow us for Solana Ecosystem News and Updates.

Infographics. Tweeting about Solana and SOLmates.

#ProofofHistory @solana $SOL"
Solana Foundation,SolanaFndn,"Solana Foundation is a non-profit organization dedicated to the decentralization, growth, and security of the Solana network. RTs and likes are not endorsements"
Hyperspace | Solana NFT Marketplace & Aggregator,hyperspacexyz,"Solana NFT Bodega || NFT Marketplace, Aggregator, Launchpad, Portfolio Tracker, Realtime Floors 👀 For More Alpha: https://t.co/E8Rxgaw1mr"
Solana Labs,solanalabs,"Solana Labs builds products, tools, and reference implementations to further expand the Solana ecosystem."
Solana News ☀️,SolanaNews,"Solana & DeFi Latest News, Features & Analysis"
Solana Insiders 🦍☀️,SolanaInsiders,"A research team dedicated to the Solana ecosystem 🧵 

DMs are open 📨

Join the Solana insiders community: https://t.co/his1GR2HGf"
Solana Mobile,solanamobile,It’s time for web3’s next chapter 📱 Solana Mobile Stack and Saga coming early 2023. Start building now!
News Solana,NewsSolana,Daily #Solana Updates I Info about new projects on Solana IDms open for Solana based Projects :)I $Sol
Solana Zone ★,Zone_Solana,"Zone for Solana projects
Contact for PR / business (telegram): @NewsCoinZone_Ad

@NewsCoinZone_Ad3"
Barndog,Barndog_Solana,"I used to drive Cranes for a job, then I found and fell in love with Solana Gaming

Proud Australian Ambassador of STEPN

Grape Protocol Content Creator"
SolSocks,SocksOnSolana,500 socks deep in the solana metaverse. Available on ME ➡️ https://t.co/uAsJDHjFvC ➡️ Discord https://t.co/2fACcF8sXf
Wazza - SolanaFloor,cryptowazza,Creator @SolanaFloor (2nd place 2021 Solana Ignition Hackathon) and Shi Guardians 🐒 OG @MonkeDAO member
Glow - Solana Wallet,glowwallet,Your new favorite solana wallet. Download → https://t.co/wFV8C6QlPU
Solana Yacht Club,SolanaYC,BAYC sub community managed by BAYC holders on Solana | Co-founders: @ca0928 and @gmishra | Not affiliated with @boredapeYC or any Solana project. DMs are open.
Solana Cookbook,SolanaCookbook,"The Solana Cookbook is a developer resource that provides the essential concepts and recipes for building applications on Solana.

https://t.co/vyh8JL1pg7"
☀️ Solana Community Blog ☀️,solanablog,Unofficial Solana Community Blog
solana nfter,solananfter,Co-founder Solana // NFT collector 🐳 // dm me for promo
Solana Developers,solana_devs,"Glass — it's what devs crave. News, updates, content, code and job opportunities for Solana developers 🧑🏽‍💻"
Solana Games,solanagames_gg,Home for gamers + game builders on Solana
Solana xNFT guy 🔋,SolanaNFTGuy,"Buy Solana NFTs, hold for ages. retire 🤝
/// 
SMB On loan ///
Thug #3111 ///
Degen #5374 ///
Aurorian #8732 /// 
solananftguy.sol"
Solana Airdrop Aggregator,SOLAggregator,NOT financial advice/official Solana team. Airdrops NOT audited. Ape at own risk. Burner wallet 6HXMnkW3FVNyJzc3xuqSfAfXddr3K56gVbJsX6r8cMmV
SolsWatch | Solana NFT Insights & Charts,SolsWatch,"Solana NFT Insights & Charts • Floor Alerts

Top daily volume - https://t.co/iPq8Uwn0TE
Floor movers - https://t.co/By8jyI393d…
Discord - https://t.co/QRQslsBi7X"
Solana,SolanaMusica,"Solana is a five-piece who perform original compositions encompassing folk idioms, modal jazz and experimental grooves."
Solana Bananas 🍌,SolanaBananas,"1500 fruity, uniquely generated Banana NFTs 🍌 OG Solana project building games and experiences for primates across the ecosystem. Banana Land coming soon 🎢"
$CATO,SolanaCATO,"$CATO Predictions Marketplace & OG Solana Meme ✨ 
• Website : https://t.co/nP5qHvTGRl
• Telegram : https://t.co/dctmxg7wbL
• Discord : Private"
SoL NFT Mint Scan 👾 🕹,MintSolana,"Daily updates on NFT Mint happening across Solana Network
Giveaways =/= Endorsement

#SOLANA #NFT #NFTS"
Solana Airdrop Investigator🔆,SOLinvestigator,"Solana Fan Boy.

🎉Solana Airdrop🎉

DM me to sponsor a Giveway.

#SOL #SOLANA #AIRDROP #AIRDROPS"
Solana Slugs,SolSlugsNFT,"8,459 Slugs on the Solana Blockchain | FREE MINT - SOLD OUT | Buy us on Magic Eden: https://t.co/9czceaPt6P 🐌🚀🔥 Discord: https://t.co/sEMlHXbNOj"
Lava Cash (Solana + Privacy),lava_cash,A decentralized privacy preservation protocol built for the Solana blockchain. https://t.co/Exlw4Aken0
Magic Solana Sh*t | LIT SH*T,magicsolanashit,"WELCOME TO THE SHITSHOW! | Magic Solana Shits are 6969 uniquely generated #Solana NFTs. Total supply: 5,165. Just ART."
Club Sol de América,SoldeAmericapy,"Cuenta oficial del Club Sol de América, administrada por el Departamento de Prensa.      ☎   (021) 370 712"
USC Price School,USCPrice,USC Sol Price School of Public Policy -- shaping the world since 1929. Our mission is to improve the quality of life for people and their communities.
Sol Beer US,SolBeerUS,"Only for 21+. Don't share w/ under 21. Drink Responsibly. Imported by Cerveza Sol Imports, Ft.Worth, TX. PRIV:https://t.co/KfLPjXDQXM T&C:https://t.co/nlJx8PedPo."
🌞 Sol Brah 🌞,SolBrah,"VITAL LIVING - Enter Sol Club: https://t.co/PQbHSbXi6E

My supplements: https://t.co/zgkFOzNLgd
Apparel: https://t.co/1gv92Z5TFf 
IG: realsolbrah 
TG: https://t.co/2I8W1rTEGs

More: https://t.co/17lFgRIYEi"
xWEB3 bigdaddydegen.sol,daddydegennft,"ETH/SOL dev, experienced nft project advisor

double your sol on
https://t.co/291AW0GspZ"
Sol🎬,Solmemes1,"Sol of the House MAGAryean, 1st of Her Name, Queen of Memeem, Kekleesi of the Great Twitter, Lady Regent of the 7 Memedoms, Breaker of Karens & Memer of Libs"
ArlieShaban.sol 33.3% 🟠,ArlieShaban,@PokerStars Team Pro Online | SOL NFTs | Twitch Partner | A Man of the People | BBCAN2 Contestant |
Team SOL,TeamSolHQ,Official Page for Team SOL - #findyoursol
Sol Plaatje Univ.,MySPU,Official Twitter Account of Sol Plaatje University
Moon Roll | x14 your SOL,MoonRollNFT,x14 your SOL now on https://t.co/8BKu2bFX0J - Deposit #Solana or NFTs to play! by @SenzokuNFT
PattyIce.sol(33.3%) ☢️ 🧊 🧟‍♀️,patty_fi,Professional marketing and promoting 🚀- 📩 DM for inquiries - Advisor for @dark_warlocks - SOL NFT's - Not financial advice - DeGods since mint - King Degen🤴
Sol Neelman,solneelman,"Sol Neelman is a failed pro wrestler turned sports photographer about to publish his third photo book, ""More Weird Sports."" (Kehrer Verlag, 2022)"
Contrastive | SOL Stone - SOLD OUT,ContrastiveNFT,"SOL Stone - Create Variants of your Solana NFTs using the Contrastive AI

https://t.co/bNYIREgcRn"
Liffi Wongso 𓃠 XTZ.SOL💙𓆃,Liffi_Wongso,XTZ & SOL Dwellers https://t.co/h8GGRu43W3 | Hice & OpenSea https://t.co/fNUa1Scc0k
Valle del Sol,ValledelSolAZ,"Valle del Sol provides healthcare, human services, & leadership development programs to help people meet their needs."
Avax News 🔺,Avax_News,"#Avalanche Ecosystem, News & Analysis of Projects in the Ecosystem on Avax News. Avalanche News and Update! || #NFT #DeFi #GameFi 🎮 #AVAX ||"
WhaleStatsAVAX - BabyWhale ($BBW),WhaleStatsAVAX,"What are the richest AVAX whales buying & selling? Follow along!

https://t.co/Xh7uMqYytY

An @whalestats production."
Avax NFTs 🔺,AvaxNFTs,"Avax NFTs, Destination for all Avalanche NFT Alpha

Support Us: @AvaxMachina
Join Us: https://t.co/ksMb8Rv94x
NFT Mint Calendar: https://t.co/Egovz42aYk"
"Avax Podcast 🌄,🔺",AvaxPodcast,Host of the Avax Podcast; author of the Crypto Reading List (https://t.co/wSPjKnHk3X); @AVenturesDAO; holder of too many NFTs.
Avax Frogs FPC 🔺🐸,AvaxFrogsFPC,"10,000 Avax Frogs. Mint is live on 4/20. Stake your Frog and earn $SPAWN to enter the weekly lotteries!"
Avalanche News,news_avax,"Avax News by @DefiDirect 
- @news_of_bsc + @SolanaNews + @News_ETH + more 

Avalanche & DeFi Latest News, Features & Analysis"
🔺𝑃𝑖𝑐𝑎ℎ𝑜𝑒.𝙖𝙫𝙖𝙭 🩸🗡,0xKINGGoD,Creator of Avax #Kuzaclan 🗡🩸 #NegroBeeple //// 1of1 artist/// #avax 🅱️// SM Manager for BalloonTown 🎈🧸.. https://t.co/IpzKdpCgV7
AVAX TREEZ 🔺,AvaxTreezNFT,"Avax Treez 10,000 Wild Apple Treez Created by the Gods of the Crypto Realm. #AVAX #Avalanche TG: https://t.co/q1qTYYZzaZ Join Us: https://t.co/AVdoDFOWYJ"
Avalanche Gas Custom Price Notifier Bot,AvaxGas,"1) Follow
2) Turn on notifications
3) Bot will DM you
4) Reply with maximum AVAX gas price you want to be alerted
5) Bot will DM you when gas is below your max"
Avax Sniper,AvaxSniper,Just Avalanche Project - #AVAX Hunter - #AVAX Giveaways - #AVAX NFTs - Avax Supporter - Dm me For Collab 📥
Avax Machina,AvaxMachina,"2,222 Avax Machinas on Avalanche via @GetKalao

The first NFT project from @AvaxNFTs

MINTING PAGE - https://t.co/RzTKKe49Vt

https://t.co/t5aiLavqDT"
Camilo🔺In Avax We Trust,camilogrowth,"Chief Marketing Officer & Co-founder @AvaxHusky — NFT, Web3 & Growth Marketing/Hacking enthusiast — In Avax We Trust🔺"
LINK🔺AVAX,LINKxAVAX,⛓ LINK 🔺 AVAX 🚜 JOE 🐵 BAYC 🔮 SUPERGUCCI
Avax Ghost NFT Game🔺(Phase1 SOLD OUT-Phase2 LIVE),AvaxGhost,"Avax Ghost is a decentralized play-to-earn game adventure.

https://t.co/2y6QLhA5sk"
Avax Signal,avaxsignal,"Turn on post notifications. Most active supporters of the channel may receive awesome NFTs, swag, and AVAX giveaways."
AVAX UBI🔺️ (Universal Basic Income),avaxubi,AVAX UBI is a charitable social experiment featuring a daily guaranteed income for underserved people in the avax community.
ChadB.Avax🔺,ChdMck,Exploring Avalanche Blockchain Projects | Community Builder | Been trucking sense 2011 | Founder of Avax Trucking 🚚 | Degen Yeti Ski Club DAO 🎿
AVAX Bros NFT 🔺,AVAXBros,A collection of 2000 unique and randomly generated AVAX Bros #AVAX
StephAVAX13 🔺,steph_p13,Wannabe Hooper & owner of Avax Ape #1802.
Giuseppe Avax Farm 🔺🦀 .avax,AvaxFarm,Avax Farm runs Avalanche Nodes in enterprise architecture fully monitored to ensure performance and uptime for delegators. Delegate your Avax with confidence.
KaraStar | Gamefi 2.0,karastargamefi,"A Play & Earn Metaverse game on GameFi 2.0-based ecosystem

Bloomberg, Yahoo Finance, Market Watch and Nasdaq reporting
Telegram : https://t.co/DljUKaVhJI"
CheersLand🍻#GameFi | Hiring!,cheers_land,"A scalable GameFi Metaverse Aggregator where anyone can monetize their gaming experiences and social networks | $CHEERS
Official TG: https://t.co/704bsUz5kd"
